elapsed_sec,op,lat_mean_us,lat_p99_us,timestamp_utc,phase
1002,write,613.8,12096.0,2026-09-06T03:48:21Z,upgrade
1018,read,191.1,282.0,2026-09-06T03:48:37Z,upgrade
1018,write,441.4,470.0,2026-09-06T03:48:37Z,upgrade
1035,read,181.9,298.0,2026-09-06T03:48:54Z,upgrade
1035,write,461.9,916.0,2026-09-06T03:48:54Z,upgrade
1052,read,183.0,322.0,2026-09-06T03:49:11Z,upgrade
1052,write,575.7,11072.0,2026-09-06T03:49:11Z,upgrade
1068,read,188.5,286.0,2026-09-06T03:49:27Z,upgrade
1068,write,428.0,502.0,2026-09-06T03:49:27Z,upgrade
1085,read,182.1,294.0,2026-09-06T03:49:44Z,upgrade
1085,write,451.5,540.0,2026-09-06T03:49:44Z,upgrade
1102,read,183.7,338.0,2026-09-06T03:50:01Z,upgrade
1102,write,519.5,4832.0,2026-09-06T03:50:01Z,upgrade
1119,read,184.9,326.0,2026-09-06T03:50:18Z,upgrade
1119,write,559.4,9408.0,2026-09-06T03:50:18Z,upgrade
1135,read,181.1,302.0,2026-09-06T03:50:34Z,upgrade
1135,write,607.7,9664.0,2026-09-06T03:50:34Z,upgrade
1152,read,180.6,290.0,2026-09-06T03:50:51Z,upgrade
1152,write,535.6,636.0,2026-09-06T03:50:51Z,upgrade
1169,read,183.8,326.0,2026-09-06T03:51:08Z,upgrade
1169,write,389.9,506.0,2026-09-06T03:51:08Z,upgrade
1185,read,184.4,326.0,2026-09-06T03:51:24Z,upgrade
1185,write,401.5,516.0,2026-09-06T03:51:24Z,upgrade
1202,read,182.1,322.0,2026-09-06T03:51:41Z,upgrade
1202,write,405.3,516.0,2026-09-06T03:51:41Z,upgrade
1219,read,183.4,366.0,2026-09-06T03:51:58Z,upgrade
1219,write,404.9,596.0,2026-09-06T03:51:58Z,upgrade
1236,read,185.0,394.0,2026-09-06T03:52:15Z,upgrade
1236,write,403.8,572.0,2026-09-06T03:52:15Z,upgrade
1252,read,183.1,382.0,2026-09-06T03:52:31Z,upgrade
1252,write,406.0,532.0,2026-09-06T03:52:31Z,upgrade
1269,read,179.4,298.0,2026-09-06T03:52:48Z,upgrade
1269,write,399.2,516.0,2026-09-06T03:52:48Z,upgrade
1286,read,191.5,338.0,2026-09-06T03:53:05Z,upgrade
1286,write,415.2,516.0,2026-09-06T03:53:05Z,upgrade
1302,read,183.1,330.0,2026-09-06T03:53:21Z,upgrade
1302,write,414.2,506.0,2026-09-06T03:53:21Z,upgrade
1319,read,183.9,330.0,2026-09-06T03:53:38Z,upgrade
1319,write,385.1,524.0,2026-09-06T03:53:38Z,upgrade
1336,read,183.5,362.0,2026-09-06T03:53:55Z,upgrade
1336,write,409.3,572.0,2026-09-06T03:53:55Z,upgrade
