wallclock_utc,elapsed_s,metric_ts,age_seconds
07:59:28,683,07:58:00,60.0
07:59:38,694,07:58:00,60.0
07:59:49,705,07:58:00,60.0
08:00:00,716,07:58:00,60.0
08:00:11,727,07:59:00,60.0
08:00:22,738,07:59:00,60.0
08:00:33,748,07:59:00,60.0
08:00:44,759,07:59:00,60.0
08:00:54,770,07:59:00,60.0
08:01:05,781,08:00:00,60.0
08:01:16,792,08:00:00,60.0
08:01:27,803,08:00:00,60.0
08:01:38,814,08:00:00,60.0
08:01:49,824,08:00:00,60.0
08:01:59,835,08:00:00,60.0
08:02:10,846,08:01:00,60.0
08:02:21,857,08:01:00,60.0
08:02:32,868,08:01:00,60.0
08:02:43,879,08:01:00,60.0
08:02:54,889,08:01:00,60.0
08:03:04,900,08:02:00,60.0
08:03:15,911,08:02:00,60.0
08:03:26,922,08:02:00,60.0
08:03:37,933,08:02:00,60.0
08:03:48,944,08:02:00,60.0
08:03:59,954,08:02:00,60.0
08:04:09,965,08:03:00,60.0
08:04:20,976,08:03:00,60.0
08:04:31,987,08:03:00,60.0
08:04:42,998,08:03:00,60.0
08:04:53,1009,08:03:00,60.0
08:05:04,1019,08:04:00,60.0
08:05:15,1030,08:04:00,60.0
08:05:25,1041,08:04:00,60.0
08:05:36,1052,08:04:00,60.0
08:05:47,1063,08:04:00,60.0
08:05:58,1074,08:04:00,60.0
08:06:09,1085,08:05:00,60.0
08:06:20,1095,08:05:00,60.0
08:06:30,1106,08:05:00,60.0
08:06:41,1117,08:05:00,60.0
08:06:52,1128,08:05:00,60.0
08:07:03,1139,08:06:00,62.0
08:07:14,1150,08:06:00,62.0
08:07:25,1160,08:06:00,62.0
08:07:35,1171,08:06:00,62.0
08:07:46,1182,08:06:00,62.0
08:07:57,1193,08:06:00,62.0
08:08:08,1204,08:07:00,60.0
08:08:19,1215,08:07:00,60.0
08:08:30,1225,08:07:00,60.0
08:08:41,1236,08:07:00,60.0
08:08:51,1247,08:07:00,60.0
08:09:02,1258,08:08:00,60.0
08:09:13,1269,08:08:00,60.0
08:09:24,1280,08:08:00,60.0
08:09:35,1290,08:08:00,60.0
08:09:46,1301,08:08:00,60.0
08:09:56,1312,08:08:00,60.0
08:10:07,1323,08:09:00,60.0
08:10:18,1334,08:09:00,60.0
08:10:29,1345,08:09:00,60.0
08:10:40,1356,08:09:00,60.0
08:10:51,1366,08:09:00,60.0
08:11:01,1377,08:10:00,60.0
08:11:12,1388,08:10:00,60.0
08:11:23,1399,08:10:00,60.0
08:11:34,1410,08:10:00,60.0
08:11:45,1421,08:10:00,60.0
08:11:56,1431,08:10:00,60.0
08:12:06,1442,08:11:00,61.0
08:12:17,1453,08:11:00,61.0
08:12:28,1464,08:11:00,61.0
08:12:39,1475,08:11:00,61.0
08:12:50,1486,08:11:00,61.0
08:13:01,1496,08:12:00,60.0
08:13:11,1507,08:12:00,60.0
08:13:22,1518,08:12:00,60.0
08:13:33,1529,08:12:00,60.0
08:13:44,1540,08:12:00,60.0
08:13:55,1551,08:12:00,60.0
08:14:06,1562,08:13:00,60.0
08:14:17,1572,08:13:00,60.0
08:14:28,1583,08:13:00,60.0
08:14:39,1594,08:13:00,60.0
08:14:49,1605,08:13:00,60.0
08:15:00,1616,08:13:00,60.0
08:15:11,1627,08:14:00,60.0
08:15:22,1638,08:14:00,60.0
08:15:33,1649,08:14:00,60.0
08:15:44,1659,08:14:00,60.0
08:15:54,1670,08:14:00,60.0
08:16:05,1681,08:15:00,60.0
08:16:16,1692,08:15:00,60.0
08:16:27,1703,08:15:00,60.0
08:16:38,1714,08:15:00,60.0
08:16:49,1724,08:15:00,60.0
08:16:59,1735,08:15:00,60.0
08:17:10,1746,08:16:00,60.0
08:17:21,1757,08:16:00,60.0
08:17:32,1768,08:16:00,60.0
08:17:43,1779,08:16:00,60.0
08:17:54,1789,08:16:00,60.0
08:18:05,1800,08:17:00,60.0
08:18:15,1811,08:17:00,60.0
08:18:26,1822,08:17:00,60.0
08:18:37,1833,08:17:00,60.0
08:18:48,1844,08:17:00,60.0
08:18:59,1854,08:17:00,60.0
08:19:10,1865,08:18:00,60.0
08:19:20,1876,08:18:00,60.0
08:19:31,1887,08:18:00,60.0
08:19:42,1898,08:18:00,60.0
08:19:53,1909,08:18:00,60.0
08:20:04,1920,08:19:00,60.0
08:20:15,1930,08:19:00,60.0
08:20:25,1941,08:19:00,60.0
08:20:36,1952,08:19:00,60.0
08:20:47,1963,08:19:00,60.0
08:20:58,1974,08:19:00,60.0
08:21:09,1985,08:20:00,0.0
08:21:20,1995,08:20:00,0.0
08:21:30,2006,08:20:00,0.0
08:21:41,2017,08:20:00,0.0
08:21:52,2028,08:20:00,0.0
08:22:03,2039,08:21:00,0.0
08:22:14,2050,08:21:00,0.0
08:22:25,2061,08:21:00,0.0
08:22:36,2071,08:21:00,0.0
08:22:46,2082,08:21:00,0.0
08:22:57,2093,08:21:00,0.0
08:23:08,2104,08:22:00,0.0
08:23:19,2115,08:22:00,0.0
08:23:30,2126,08:22:00,0.0
08:23:41,2136,08:22:00,0.0
08:23:51,2147,08:22:00,0.0
08:24:02,2158,08:23:00,0.0
08:24:13,2169,08:23:00,0.0
08:24:24,2180,08:23:00,0.0
08:24:35,2191,08:23:00,0.0
08:24:46,2201,08:23:00,0.0
08:24:56,2212,08:23:00,0.0
08:25:07,2223,08:24:00,0.0
08:25:18,2234,08:24:00,0.0
08:25:29,2245,08:24:00,0.0
