elapsed_sec,op,lat_mean_us,lat_p99_us,timestamp_utc,phase
991,read,229.5,346.0,2026-09-06T05:38:11Z,upgrade
991,write,631.1,9664.0,2026-09-06T05:38:11Z,upgrade
1008,read,228.5,334.0,2026-09-06T05:38:28Z,upgrade
1008,write,699.3,13632.0,2026-09-06T05:38:28Z,upgrade
1025,read,226.7,362.0,2026-09-06T05:38:45Z,upgrade
1025,write,474.6,532.0,2026-09-06T05:38:45Z,upgrade
1041,read,228.5,374.0,2026-09-06T05:39:01Z,upgrade
1041,write,620.2,7904.0,2026-09-06T05:39:01Z,upgrade
1058,read,230.1,374.0,2026-09-06T05:39:18Z,upgrade
1058,write,606.1,6048.0,2026-09-06T05:39:18Z,upgrade
1075,read,228.5,366.0,2026-09-06T05:39:35Z,upgrade
1075,write,508.8,580.0,2026-09-06T05:39:35Z,upgrade
1092,read,231.2,370.0,2026-09-06T05:39:52Z,upgrade
1092,write,571.5,6688.0,2026-09-06T05:39:52Z,upgrade
1108,read,231.9,438.0,2026-09-06T05:40:08Z,upgrade
1108,write,686.6,9408.0,2026-09-06T05:40:08Z,upgrade
1125,read,230.7,410.0,2026-09-06T05:40:25Z,upgrade
1125,write,563.3,3760.0,2026-09-06T05:40:25Z,upgrade
1142,read,228.6,362.0,2026-09-06T05:40:42Z,upgrade
1142,write,611.2,9536.0,2026-09-06T05:40:42Z,upgrade
1159,read,230.7,422.0,2026-09-06T05:40:59Z,upgrade
1159,write,709.0,13376.0,2026-09-06T05:40:59Z,upgrade
1175,read,229.4,366.0,2026-09-06T05:41:15Z,upgrade
1175,write,695.7,15168.0,2026-09-06T05:41:15Z,upgrade
1192,read,228.5,366.0,2026-09-06T05:41:32Z,upgrade
1192,write,712.4,13120.0,2026-09-06T05:41:32Z,upgrade
1209,read,228.6,366.0,2026-09-06T05:41:49Z,upgrade
1209,write,583.2,5920.0,2026-09-06T05:41:49Z,upgrade
1225,read,235.3,446.0,2026-09-06T05:42:05Z,upgrade
1225,write,671.9,14144.0,2026-09-06T05:42:05Z,upgrade
1242,read,231.2,430.0,2026-09-06T05:42:22Z,upgrade
1242,write,778.4,19328.0,2026-09-06T05:42:22Z,upgrade
1259,read,232.0,438.0,2026-09-06T05:42:39Z,upgrade
1259,write,597.7,6048.0,2026-09-06T05:42:39Z,upgrade
1276,read,229.4,418.0,2026-09-06T05:42:56Z,upgrade
1276,write,547.3,2064.0,2026-09-06T05:42:56Z,upgrade
1292,read,229.9,374.0,2026-09-06T05:43:12Z,upgrade
1292,write,531.5,2832.0,2026-09-06T05:43:12Z,upgrade
1309,read,230.7,374.0,2026-09-06T05:43:29Z,upgrade
1309,write,780.7,19072.0,2026-09-06T05:43:29Z,upgrade
1326,read,229.0,366.0,2026-09-06T05:43:46Z,upgrade
1326,write,541.4,3184.0,2026-09-06T05:43:46Z,upgrade
1343,read,228.7,374.0,2026-09-06T05:44:03Z,upgrade
1343,write,509.1,1208.0,2026-09-06T05:44:03Z,upgrade
1359,read,228.7,366.0,2026-09-06T05:44:19Z,upgrade
1359,write,553.7,4016.0,2026-09-06T05:44:19Z,upgrade
1376,read,226.2,342.0,2026-09-06T05:44:36Z,upgrade
1376,write,669.2,14016.0,2026-09-06T05:44:36Z,upgrade
1393,read,225.8,330.0,2026-09-06T05:44:53Z,upgrade
1393,write,466.2,644.0,2026-09-06T05:44:53Z,upgrade
1409,read,240.0,390.0,2026-09-06T05:45:09Z,upgrade
1409,write,438.4,604.0,2026-09-06T05:45:09Z,upgrade
1426,read,236.0,374.0,2026-09-06T05:45:26Z,upgrade
1426,write,498.0,644.0,2026-09-06T05:45:26Z,upgrade
1443,read,228.8,366.0,2026-09-06T05:45:43Z,upgrade
1443,write,647.6,11072.0,2026-09-06T05:45:43Z,upgrade
1460,read,233.0,426.0,2026-09-06T05:46:00Z,upgrade
1460,write,465.7,668.0,2026-09-06T05:46:00Z,upgrade
1476,read,241.6,446.0,2026-09-06T05:46:16Z,upgrade
1476,write,482.1,708.0,2026-09-06T05:46:16Z,upgrade
1493,read,228.6,366.0,2026-09-06T05:46:33Z,upgrade
1493,write,441.4,556.0,2026-09-06T05:46:33Z,upgrade
1510,read,231.1,370.0,2026-09-06T05:46:50Z,upgrade
1510,write,431.2,596.0,2026-09-06T05:46:50Z,upgrade
1527,read,233.9,382.0,2026-09-06T05:47:07Z,upgrade
1527,write,439.9,556.0,2026-09-06T05:47:07Z,upgrade
1543,read,228.3,362.0,2026-09-06T05:47:23Z,upgrade
1543,write,464.7,556.0,2026-09-06T05:47:23Z,upgrade
1560,read,229.5,370.0,2026-09-06T05:47:40Z,upgrade
1560,write,470.2,572.0,2026-09-06T05:47:40Z,upgrade
1577,read,228.9,402.0,2026-09-06T05:47:57Z,upgrade
1577,write,468.3,652.0,2026-09-06T05:47:57Z,upgrade
1593,read,230.8,434.0,2026-09-06T05:48:13Z,upgrade
1593,write,445.9,636.0,2026-09-06T05:48:13Z,upgrade
1610,read,240.3,442.0,2026-09-06T05:48:30Z,upgrade
1610,write,484.1,636.0,2026-09-06T05:48:30Z,upgrade
1627,read,233.3,434.0,2026-09-06T05:48:47Z,upgrade
1627,write,480.1,636.0,2026-09-06T05:48:47Z,upgrade
1644,read,233.1,458.0,2026-09-06T05:49:04Z,upgrade
1644,write,430.7,652.0,2026-09-06T05:49:04Z,upgrade
